1;11;1372046400;1372046400
1;10;1375243200;1375243200
1;9;1329454800;1329454800
1;15;1319860800;1319860800
1;4;1300161600;1300161600
1;2;1291093200;1291093200
2;1;1411963200;1411963200
2;4;1298264400;1298264400
2;8;1376366400;1376366400
2;9;1320814800;1320814800
2;7;1375761600;1375761600
2;15;1327381200;1327381200
2;10;1291006800;1291006800
2;14;1376798400;1376798400
2;13;1376625600;1376625600
2;5;1387170000;1387170000
2;3;1376625600;1376625600
2;11;1411963200;1411963200
3;5;1372996800;1372996800
3;6;1361941200;1361941200
3;13;1353992400;1353992400
3;7;1353906000;1353906000
3;12;1367553600;1367553600
3;10;1360213200;1360213200
3;8;1354597200;1354597200
3;11;1354424400;1354424400
4;1;1299646800;1299646800
4;2;1298264400;1298264400
4;11;1331870400;1331870400
4;9;1319774400;1319774400
4;10;1291698000;1291698000
5;2;1387170000;1387170000
5;3;1383627600;1383627600
5;8;1370145600;1370145600
5;13;1377489600;1377489600
5;6;1382328000;1382328000
5;12;1387170000;1387170000
5;11;1395806400;1395806400
6;3;1362373200;1362373200
6;5;1383714000;1383714000
6;8;1363752000;1363752000
6;11;1365480000;1365480000
6;7;1358744400;1358744400
6;12;1383105600;1383105600
7;2;1412049600;1412049600
7;3;1353906000;1353906000
7;6;1358744400;1358744400
7;8;1348200000;1348200000
7;13;1344312000;1344312000
7;11;1397016000;1397016000
8;2;1398225600;1398225600
8;3;1354597200;1354597200
8;5;1383192000;1383192000
8;6;1363838400;1363838400
8;7;1363060800;1363060800
8;13;1355547600;1355547600
8;11;1390885200;1390885200
8;10;1358658000;1358658000
9;1;1329454800;1329454800
9;2;1330146000;1330146000
9;4;1373342400;1373342400
9;14;1332820800;1332820800
9;15;1320728400;1320728400
10;1;1375243200;1375243200
10;2;1290488400;1290488400
10;3;1360213200;1360213200
10;4;1291698000;1291698000
10;8;1368849600;1368849600
10;11;1337832000;1337832000
10;15;1365307200;1365307200
11;1;1374984000;1374984000
11;2;1336968000;1336968000
11;3;1354424400;1354424400
11;4;1331870400;1331870400
11;5;1377144000;1377144000
11;6;1389070800;1389070800
11;7;1374984000;1374984000
11;8;1339560000;1339560000
11;9;1341374400;1341374400
11;10;1347768000;1347768000
11;13;1351569600;1351569600
11;12;1388293200;1388293200
11;14;1324357200;1324357200
11;15;1344571200;1344571200
12;3;1367467200;1367467200
12;5;1387170000;1387170000
12;6;1383105600;1383105600
12;11;1384578000;1384578000
13;3;1353992400;1353992400
13;5;1415336400;1415336400
13;7;1377403200;1377403200
13;8;1355547600;1355547600
13;11;1353214800;1353214800
14;9;1332216000;1332216000
14;11;1324616400;1324616400
14;15;1364443200;1364443200
15;1;1319860800;1319860800
15;2;1312344000;1312344000
15;6;1418101200;1418101200
15;9;1348286400;1348286400
15;10;1360472400;1360472400
15;11;1358312400;1358312400
15;13;1348804800;1348804800
15;14;1362027600;1362027600
